Line 1 -- 	Value: 'module' Type: 'MODULE'
Line 1 -- 	Value: 'docgenerator' Type: 'IDENTIFIER'
Line 1 -- 	Value: ';' Type: 'SEMICOLON'
Line 2 -- 	Value: 'import' Type: 'IMPORT'
Line 2 -- 	Value: 'std' Type: 'IDENTIFIER'
Line 2 -- 	Value: ':' Type: 'COLON'
Line 2 -- 	Value: ':' Type: 'COLON'
Line 2 -- 	Value: 'io' Type: 'IDENTIFIER'
Line 2 -- 	Value: ';' Type: 'SEMICOLON'
Line 3 -- 	Value: 'import' Type: 'IMPORT'
Line 3 -- 	Value: 'std' Type: 'IDENTIFIER'
Line 3 -- 	Value: ':' Type: 'COLON'
Line 3 -- 	Value: ':' Type: 'COLON'
Line 3 -- 	Value: 'io' Type: 'IDENTIFIER'
Line 3 -- 	Value: ':' Type: 'COLON'
Line 3 -- 	Value: ':' Type: 'COLON'
Line 3 -- 	Value: 'file' Type: 'IDENTIFIER'
Line 3 -- 	Value: ';' Type: 'SEMICOLON'
Line 4 -- 	Value: 'import' Type: 'IMPORT'
Line 4 -- 	Value: 'std' Type: 'IDENTIFIER'
Line 4 -- 	Value: ':' Type: 'COLON'
Line 4 -- 	Value: ':' Type: 'COLON'
Line 4 -- 	Value: 'core' Type: 'IDENTIFIER'
Line 4 -- 	Value: ':' Type: 'COLON'
Line 4 -- 	Value: ':' Type: 'COLON'
Line 4 -- 	Value: 'mem' Type: 'IDENTIFIER'
Line 4 -- 	Value: ';' Type: 'SEMICOLON'
Line 5 -- 	Value: 'import' Type: 'IMPORT'
Line 5 -- 	Value: 'libc' Type: 'IDENTIFIER'
Line 5 -- 	Value: ';' Type: 'SEMICOLON'
Line 6 -- 	Value: 'import' Type: 'IMPORT'
Line 6 -- 	Value: 'std' Type: 'IDENTIFIER'
Line 6 -- 	Value: ':' Type: 'COLON'
Line 6 -- 	Value: ':' Type: 'COLON'
Line 6 -- 	Value: 'collections' Type: 'IDENTIFIER'
Line 6 -- 	Value: ':' Type: 'COLON'
Line 6 -- 	Value: ':' Type: 'COLON'
Line 6 -- 	Value: 'list' Type: 'IDENTIFIER'
